chair 's message nan nan 2001|fact division chair 's message ak gupta  d mahr nan nan|0
efficient algorithms for minimizing tree pattern queries p ramanan sigmod conference 2002|efficient algorithms for minimizing tree pattern queries p ramanan sigmod conference  2002.0|1
temporal database system implementations m bhlen sigmod record 1995|temporal database system implementations hb michael acm sigmod record  nan|1
efficient mid-query re-optimization of sub-optimal query execution plans n kabra  d dewitt sigmod conference 1998|efficient mid-query re-optimization of sub-optimal query execution plans n kabra  dj dewitt sigmod conference  1998.0|1
the garlic project m roth  m arya  l haas  m carey  w cody  r fagin  p schwarz  j ii  e wimmers sigmod conference 1996|the garlic project . acms anthology  p edition nan nan|0
eos : an extensible object store a biliris  e panagos sigmod conference 1994|eos : an extensible object store a biliris  e panagos sigmod conference  1994.0|1
query evaluation in deductive databases with alternating fixpoint semantics w chen acm trans . database syst . 1995|query evaluation in deductive databases with alternating fixpoint semantics w chen acm transactions on database systems  1995.0|1
from structured documents to novel query facilities v christophides  s abiteboul  s cluet  m scholl sigmod conference 1994|fromstructured documents tonovelqueryfacilities v christophides  s abiteboul  s cluet  m scholl proceedings of acm sigmod conference on management of nan|1
a structured approach for the definition of the semantics of active databases p fraternali  l tanca acm trans . database syst . 1995|a structured approach for the definition of the semantics of active databases . tech . pep . 95-028  p fraternali  l tanca acm trans . database syst . ( to appear )  nan|1
high-dimensional index structures  database support for next decade 's applications ( tutorial ) s berchtold  d keim sigmod conference 1998|high-dimensional index structures  proc s berchtold  da keim acm sigmod  nan|1
parallel evaluation of multi-join queries a wilschut  j flokstra  p apers sigmod conference 1995|efficient evaluation of parameterized pattern queries c du mouza  p rigaux  m scholl proceedings of the 14th acm international conference on & hellip ;  2005.0|0
the evolution of the web and implications for an incremental crawler j cho  h garcia-molina vldb 2000|garcia-molina h. ( 2000b )   ?? the evolution of the web and implications for an incremental crawler ?? j cho nan nan|1
the persistent cache : improving oid indexing in temporal object-oriented database systems k nrvg vldb 1999|index nesting-an efficient approach to indexing in object-oriented databases bc ooi  j han  h lu  kl tan the vldb journal the international journal on very large & hellip ;  1996.0|0
building light-weight wrappers for legacy web data-sources using w4f a sahuguet  f azavant vldb 1999|fa : building light-weight wrappers for legacy web datasources using w4f a sahuguet proceedings of the international conference on very large nan|1
domains  relations and religious wars r camps sigmod record 1996|domains  relations and religious wars s rcamp  i ls sigmod record  1996.0|1
declarative updates of relational databases w chen acm trans . database syst . 1995|self-descriptive relational data base r hotaka  m tsubaki nan nan|0
thesus : organizing web document collections based on link semantics m halkidi  b nguyen  i varlamis  m vazirgiannis vldb j. 2003|websom-self-organizing maps of document collections t honkela  s kaski  k lagus  t kohonen proceedings of wsom  1997.0|0
an efficient algorithm for mining association rules in large databases a savasere  e omiecinski  s navathe vldb 1995|an efficient algorithms for mining association rules in large databases . proceedings of the 21th a savasere  e miecinski  s navathe nan 1995.0|1
converting relational to object-oriented databases j fong sigmod record 1997|translating object-oriented database transactions into relational transactions j fong information & software technology  2002.0|0
sequence query processing p seshadri  m livny  r ramakrishnan sigmod conference 1994|sequnce query processing p seshadri  m livny  r ramakrishnan proc . of the acm sigmod conf.  pages430441  minneapolis  mn  & hellip ;  nan|1
sleepers and workaholics : caching strategies in mobile environments d barbar  t imielinski sigmod conference 1994| cents  ?  ?sleepers and workaholics : caching strategies for mobile environments   cents  ?   ? d barbara  t imielinski acm nan|1
improved histograms for selectivity estimation of range predicates v poosala  y ioannidis  p haas  e shekita sigmod conference 1996|selectivity estimation for fuzzy string predicates in large data sets l jin  c li nan nan|0
interaction of query evaluation and buffer management for information retrieval b jnsson  m franklin  d srivastava sigmod conference 1998|interface issues and interaction strategie for information retrieval s heminger  n berlkin proceedings of : acm  nan|0
quorum consensus in nested transaction systems k goldman  n lynch acm trans . database syst . 1994|quorum consensus in nested-transaction systems kj goldman  n lynch acm transactions on database systems  1994.0|1
repositories and object oriented databases p bernstein sigmod record 1998|a model for active object oriented databases  t milo vldb  1991.0|0
mining frequent patterns without candidate generation j han  j pei  y yin sigmod conference 2000|mining frequent patterns without candidate generation . acm sigmod int j han  j pei  y yin conference on management of data  acm  nan|1
integrating a structured-text retrieval system with an object-oriented database system t yan  j annevelink vldb 1994|the architecture of an active  object-oriented database system d mccarthy  u dayal proc . 1989 acm-sigmod conference on management of data  & hellip ;  nan|0
watermarking relational data : framework  algorithms and analysis r agrawal  p haas  j kiernan vldb j. 2003|watermark relational databases r agrawal  j kiernan proc . of the 28th inter . conf . on very large data bases  nan|0
fast evaluation techniques for complex similarity queries k bhm  m mlivoncic  h schek  r weber vldb 2001|a retrieval technique for similarity shapes hv jagadish proc . 1991 acmsigmod int . conf . management of nan|0
storhouse metanoia - new applications for database  storage & data warehousing f cario  p kostamaa  a kaufmann  j burgess sigmod conference 2001|storhouse metanoia ?? new applications for database f carino  p kostamaa  a kaufmann  j burgess storage & data warehousing  acm sigmod  usa  nan|1
automated selection of materialized views and indexes in sql databases s agrawal  s chaudhuri  v narasayya vldb 2000|automated selection of materialized views and indexes for sql databases sascv narasayya nan nan|1
on random sampling over joins s chaudhuri  r motwani  v narasayya sigmod conference 1999|on random sampling over joins s chaudhuri  r motwani  vr narasayya nan nan|1
safely and efficiently updating references during on-line reorganization c zou  b salzberg vldb 1998|safely and efficiently updating references during on-line reorganization c zou proceedings of the international conference on very large & hellip ;  1998.0|1
incremental maintenance of recursive views using relational calculus/sql g dong  j su sigmod record 2000|incremental maintenance of nested relational views j liu  mw vincent  m mohania nan nan|0
report on the first international workshop an efficient web-based information systems nan nan 2003|report on the 1995 international workshop on temporal databases a segev  cs jensen  rt snodgrass sigmod record  1995.0|0
reminiscences on influential papers nan nan 2001|reminiscences on influential papers e bertino acm transactions on database systems  1976.0|0
wavecluster : a wavelet based clustering approach for spatial data in very large databases g sheikholeslami  s chatterjee  a zhang vldb j. 2000|wavecluster : a wavelet-based clustering approach for spatial data in very large databases g sheikholeslami  s chatterjee  a zhang the vldb journal the international journal on very large & hellip ;  2000.0|1
